"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","whichParam","flockingEscape"
"149","9",50,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.6058184040032,6.60468592454114,"AlignWeight",0
"150","1",1,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.28375499733605,6.09493742382289,"AlignWeight",0
"150","10",2,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.10533082851427,6.44537849803681,"AlignWeight",0
"150","11",3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,197.479999999965,197.479999999965,1,0.1,4.64130966130414,6.81922597292265,"AlignWeight",0
"150","12",4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.52517216698964,6.15675712913515,"AlignWeight",0
"150","13",5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.53844616688569,6.52387280339275,"AlignWeight",0
"150","14",6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,229.679999999936,229.679999999936,1,0.1,4.42683792555412,6.87531739054849,"AlignWeight",0
"150","15",7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,220.829999999944,220.829999999944,1,0.1,4.57292567927094,6.68740128798935,"AlignWeight",0
"150","16",8,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.60327720405776,6.16257056053532,"AlignWeight",0
"150","17",9,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.99001899337771,6.48980788975523,"AlignWeight",0
"150","18",10,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.88673986824506,6.92219778063053,"AlignWeight",0
"150","19",11,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.75181564587651,6.27627848319716,"AlignWeight",0
"150","2",12,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.72032353174029,6.51407653373869,"AlignWeight",0
"150","20",13,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.34555771789106,6.22607729249088,"AlignWeight",0
"150","21",14,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.22475821880888,5.97806310695889,"AlignWeight",0
"150","22",15,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.58611946599723,6.34726905841899,"AlignWeight",0
"150","23",16,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.53142294277264,6.35827551614903,"AlignWeight",0
"150","24",17,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.13262857878595,6.51628489004423,"AlignWeight",0
"150","25",18,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,5.28161004795664,6.65838894252812,"AlignWeight",0
"150","26",19,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,1,0.1,4.58012189394402,6.66258998691579,"AlignWeight",0
"150","27",20,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.32115760919914,6.39263191518557,"AlignWeight",0
"150","28",21,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.14191353279474,6.22373217247582,"AlignWeight",0
"150","29",22,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.42702445729344,6.18212112918896,"AlignWeight",0
"150","3",23,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.49294862469018,6.31654375606267,"AlignWeight",0
"150","30",24,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.48858258951349,6.39683425667413,"AlignWeight",0
"150","31",25,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,7,NA,NA,0,0,2.82620753160536,6.03551185206389,"AlignWeight",0
"150","32",26,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.91087192613223,6.19081918638339,"AlignWeight",0
"150","33",27,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.75948199807658,6.90134317312835,"AlignWeight",0
"150","34",28,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.12337103575617,6.38334714251375,"AlignWeight",0
"150","35",29,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.23629422900617,6.3978232350916,"AlignWeight",0
"150","36",30,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.46175309996668,5.97618578114564,"AlignWeight",0
"150","37",31,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.68625866025747,6.2927839020814,"AlignWeight",0
"150","38",32,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,5.04885561300656,6.90264951779478,"AlignWeight",0
"150","39",33,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.37758120336884,6.31366920523323,"AlignWeight",0
"150","4",34,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.33557536360649,6.33257332279094,"AlignWeight",0
"150","40",35,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.19234493165862,6.3552308351538,"AlignWeight",0
"150","41",36,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,189.209999999973,189.209999999973,1,0.1,3.54357907724748,6.68507940769346,"AlignWeight",0
"150","42",37,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,5.03585502390669,6.39516049318534,"AlignWeight",0
"150","43",38,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.35721915747833,6.45936355085857,"AlignWeight",0
"150","44",39,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,9,NA,NA,0,0,4.47330834575696,6.31687663766751,"AlignWeight",0
"150","45",40,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.88132738634783,6.33299649605457,"AlignWeight",0
"150","46",41,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,9,NA,NA,0,0,4.07374589803378,6.21608781757107,"AlignWeight",0
"150","47",42,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.87389256754229,6.36631911156146,"AlignWeight",0
"150","48",43,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.59450940354101,6.43454323031044,"AlignWeight",0
"150","49",44,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.46387300698256,6.19469439354518,"AlignWeight",0
"150","5",45,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.11759595728712,6.21971180233695,"AlignWeight",0
"150","50",46,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,118.930000000024,118.930000000024,1,0.1,3.59960106606607,6.59576725492159,"AlignWeight",0
"150","6",47,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.11582190842957,6.25515241285853,"AlignWeight",0
"150","7",48,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,3.98291825313053,6.32330706351995,"AlignWeight",0
"150","8",49,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.47360789553315,6.44824073365306,"AlignWeight",0
"150","9",50,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1,10,NA,NA,0,0,4.18133270465133,6.2872154560427,"AlignWeight",0
"151","1",1,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,NA,NA,0,0,5.58770526625709,6.16844717607517,"AlignWeight",0
