"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","flockingEscape","whichParam"
"10","13",5,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,126.599000000027,125.945000000028,10,1,25.8228949261112,37.8351223990766,1,"AgentStepTime"
"10","14",6,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,196.980999999966,196.504999999966,10,1,55.7716758555897,37.5128598844556,1,"AgentStepTime"
"10","15",7,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,212.627999999952,212.584999999951,10,1,61.4631844944364,38.0233531183904,1,"AgentStepTime"
"10","16",8,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,125.714000000027,125.490000000027,10,1,23.8675615045567,35.3577269656601,1,"AgentStepTime"
"10","17",9,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,6,123.601666666693,122.485000000026,6,1,21.7836174192758,34.0763865511231,1,"AgentStepTime"
"10","18",10,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,94.8830000000117,94.3400000000113,10,1,12.6794261713721,34.2018110129277,1,"AgentStepTime"
"10","19",11,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,184.232999999977,183.769999999978,10,1,53.2560399710727,37.6550195835863,1,"AgentStepTime"
"10","2",12,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,103.944000000016,103.885000000017,10,1,15.6757215248151,39.1587692567946,1,"AgentStepTime"
"10","20",13,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,145.625000000012,144.640000000013,10,1,26.3237690674041,44.6751379147343,1,"AgentStepTime"
"10","21",14,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,128.622000000027,128.735000000028,10,1,26.334467202453,29.554438497173,1,"AgentStepTime"
"10","22",15,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,124.111000000026,123.630000000026,10,1,22.8728766958886,40.1966332601216,1,"AgentStepTime"
"10","23",16,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,111.23800000002,110.120000000019,10,1,23.5997631716097,18.7964271608895,1,"AgentStepTime"
"10","24",17,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,106.107000000017,106.255000000018,10,1,10.0672355306624,35.326907132535,1,"AgentStepTime"
"10","25",18,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,105.570000000017,105.440000000017,10,1,14.9387270829269,35.0961004399669,1,"AgentStepTime"
"10","26",19,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,122.958000000026,122.215000000026,10,1,24.7988480344103,30.0221941140667,1,"AgentStepTime"
