parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
146,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,20,1,6.56
147,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,50,1,6.56
148,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,50,1,6.56
149,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,0.1,6.56
150,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,0.1,6.56
151,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
152,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
153,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,2,6.56
154,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,2,6.56
155,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,5,6.56
156,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,5,6.56
157,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,10,6.56
158,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,10,6.56
159,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,20,6.56
160,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,20,6.56
161,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,50,6.56
162,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,50,6.56
163,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,0.1
164,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,0.1
165,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,1
166,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,1
167,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,2
168,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,2
169,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,5
170,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,5
171,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,10
172,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,10
173,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,20
174,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,20
175,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,50
176,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,50
